created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 24 07:16:47 +0000 2023;1738821002027794484;"@dokter_DAYU763 @Generasi_MudaNU Cerdas?di tanya solusi polusi udara di dki?jawabn nya :ANGIN PUNYA KTP.🤭🤣  Di tanya apa setuju atau tidak  IKN?Jwbn nya membuat skala perioritas dulu membangun 40 kota kecil menjadi besar. Dari sisi logis gak nyambung&amp  brtele-tele,WHY?Jawab yg betul TIDAK setuju     Or SETUJU.";0;0;0;0;in;1201774921686192128;1738214183064510731;wiliam999;https://twitter.com/wiliam999/status/1738821002027794484
Sun Dec 24 07:09:27 +0000 2023;1738819158291468407;"apapun itu POLUSI UDARA DAN SUARA😭😭 lama bgttt";0;0;0;0;in;1017668522745290753;1738819155909071056;larlpa;https://twitter.com/larlpa/status/1738819158291468407
Sun Dec 24 06:46:22 +0000 2023;1738813346533781898;"Hanya jakarta yg polusi udaranya sangat tinggi. Sisi atas, bawah, kiri dan kanan jakarta dlm keadaan polusi yg rendah. Cenderung baik. Bener2 tolol yg dipekerjakan di pemerintahan pusat dan kota Jakarta. Gak ada otak,lbh pinter tikus dr pd kalian https://t.co/4JSjHdmpD3";0;1;0;1;in;1680198797744570369;1738615721423417824;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1738813346533781898
Sun Dec 24 06:42:07 +0000 2023;1738812279410590113;"@wontonmie @indiratendi @asbaklapau Semua hal di bawah ini termasuk polusi udara berupa asap yang saya hadapi tiap hari: 1. rokok karena tiap pagi terpapar itu dulu (bokap nyebat dulu minimal 1-2 batang) 2. kendaraan bermotor 3. pembuangan pabrik 4. bakar sampah 5. pembuangan kereta api lokomotif";0;1;0;0;in;1212303842420740096;1738755908933685659;baerevelvine;https://twitter.com/baerevelvine/status/1738812279410590113
Sun Dec 24 06:38:02 +0000 2023;1738811251424407884;"@KompasTV Ketahuan bodohnya si @gibran_tweet. Istilah carbon capture and storage buka istilah ekonomi atau investasi. Itu istilah utk mengatasi masalah polusi udara. Bodoh sekali kamu.. sih yg ajarin? Timnya? Suruh timnya belajar lagi. SGIE juga bukan istilah ekonomi atau investasi.";0;1;0;1;in;1704371657690013696;1738449400673030453;Nicke9662734599;https://twitter.com/Nicke9662734599/status/1738811251424407884
Sun Dec 24 06:24:10 +0000 2023;1738807759636983850;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  1:23pm jakarta rank 21 🇮🇩 PM 2,5: 52 orange. Sdh 13 jam warga jakarta bernafas dgn udara yg sangat kotor 🤦🏻‍♂️ https://t.co/vGA5TKMp9w";0;1;0;1;in;1680198797744570369;1738615721423417824;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1738807759636983850
Sun Dec 24 06:09:51 +0000 2023;1738804160236286373;"1:08pm dosa apa warga jakarta hrs merasakan 12 jam penuh polusi udara level merah sprti yg terjadi pd saat ini. https://t.co/mIsAikyYYh";0;1;0;1;in;1680198797744570369;1738615721423417824;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1738804160236286373
Sun Dec 24 06:07:26 +0000 2023;1738803552473194749;"GIAT PEMADAMAN TITIK API Anggota Polsek Muaragembong melakukan pemadaman titik api untuk mencegah polusi udara dan Kebakaran di wilayah Hukum Polsek Muaragembong https://t.co/Qe3JGj0dFz";0;0;0;0;in;1187607469972869121;1738803552473194749;PMuaragembong;https://twitter.com/PMuaragembong/status/1738803552473194749
Sun Dec 24 05:48:28 +0000 2023;1738798775479754894;"@sutanmangara @Dahnilanzar ANIES,di tanya solusi polusi udara di DKI?Jwb nya:ANGIN PUNYA KTP🤣.ini analogis yg pintar atau dungu?🤣  Contoh nya :Ganjar nanya apa anda mau melanjutkan ikn?jawaban anies,saya membuat skala prioritas membangun kota2 kecil menjadi kota besar, ini jawaban org pintar OR bodoh?";0;0;0;0;in;1201774921686192128;1738398529650053385;wiliam999;https://twitter.com/wiliam999/status/1738798775479754894
Sun Dec 24 05:05:58 +0000 2023;1738788082558906483;"Bu, klo bayi masih 2 bulan jangan dibawa naik krl lah. Kasian loh itu mesti ngirup udara polusi.";1;1;0;0;in;73291493;1738788082558906483;dinkdankdunk;https://twitter.com/dinkdankdunk/status/1738788082558906483
Sun Dec 24 04:11:54 +0000 2023;1738774476710707498;"Mudik nataru taon ini, jalanan depan rumah ga begitu padat karna ada tol yg dibuka selama liburan nataru. Bagus la. Mengurangi polusi suara dan polusi udara.";0;0;0;0;in;170948282;1738774476710707498;juice_tea;https://twitter.com/juice_tea/status/1738774476710707498
Sun Dec 24 03:43:28 +0000 2023;1738767320766668802;"banjir, dan polusi udara akan teratasi? Ataukah hanya akan berpindah ke ibukota baru? Mari kita lihat bagaimana pemerintah mengatasi hal ini.";0;0;0;0;in;1679031871366369280;1738767320766668802;MirandaNarita;https://twitter.com/MirandaNarita/status/1738767320766668802
Sun Dec 24 03:30:32 +0000 2023;1738764063851811027;"Nih udah kali ke 3 lewat ga tau rombongan yg sama apa nggak, sumpahh sihh udah polusi udara polusi suara pulak https://t.co/7ucdtQiWPk";0;0;0;0;in;1469605500438257667;1738764063851811027;thinkinboutshu;https://twitter.com/thinkinboutshu/status/1738764063851811027
Sun Dec 24 03:22:10 +0000 2023;1738761960873947524;"@xancenery Abang ini memang kali2 harus menghirup udara segar yang jauh Dari polusi Stella jeruk tauuuu.";0;0;0;0;in;1498258969852530691;1738748801349988490;IgnisPark;https://twitter.com/IgnisPark/status/1738761960873947524
Sun Dec 24 03:12:49 +0000 2023;1738759606351052986;"@ndaaamaharani @cR17imo @youngmasterjcw @Arie_Kriting Jadi urusan kemacetan,polusi udara Jakarta gak perlu diurusin gitu ya? Wkkkkkk";0;2;0;0;in;225759595;1738485999297335338;Grosir__sepatu;https://twitter.com/Grosir__sepatu/status/1738759606351052986
Sun Dec 24 02:30:33 +0000 2023;1738748970422444314;"Sumber polusi udara dari dalam kabin berasal dari jamur dan bakteri (akibat AC kotor atau kabin terlalu lembap) serta asap rokok (bila ada yang merokok di dalam kabin mobil). . Jangan lupa like postingan ini agar mimin lebih semangat ngonten  .";0;1;0;0;in;1591623928887144448;1738747826363117636;Prioritasjayac2;https://twitter.com/Prioritasjayac2/status/1738748970422444314
Sun Dec 24 02:22:43 +0000 2023;1738747000521421281;"Satu satunya solusi mengurangi polusi udara di Jakarta yah dengan IKN https://t.co/PjCEhMQCVc";0;1;0;0;in;1564493846955798530;1738746983832322055;Infoterkini265;https://twitter.com/Infoterkini265/status/1738747000521421281
Sun Dec 24 02:03:23 +0000 2023;1738742132335427772;"@iwan3660 @nung_306 Jadi pemerintahan nggak bisa ya buat urus polusi, instrumen hukum nggak berdaya ya utk mencegah dan menangani polusi, apakah hak utk mendapatkan kualitas udara yg bagus gak masuk ham, klo udara bagus tanpa polusi apakah itu nggak masuk melayani publik dg bagus???";0;0;0;0;in;1260903470128742400;1735201077866406323;koproperindo;https://twitter.com/koproperindo/status/1738742132335427772
Sun Dec 24 02:00:32 +0000 2023;1738741416610963810;"*lagi mam soto ada kampanye brisik* me : yaampun apaansih, polusi suara, polusi udara lagi  mom : polusi manusia, skrg manusia banyak yang kaya sampah me : *shocked 😲* bnr lagi,";0;0;0;1;in;1251398815266910208;1738741416610963810;aprodhie;https://twitter.com/aprodhie/status/1738741416610963810
Sun Dec 24 01:16:39 +0000 2023;1738730370840117346;"meromantisasi momen menghirup udara segar tanpa polusi🏕 https://t.co/xrAWupHNne";0;0;0;0;in;624355978;1738730370840117346;Zhulfikha;https://twitter.com/Zhulfikha/status/1738730370840117346
Sun Dec 24 00:59:06 +0000 2023;1738725957832466795;"🌬️  Jakarta tenggelam dalam polusi udara yang mengkhawatirkan, dengan Indeks Kualitas Udara (IKU) saat ini mencapai angka 155. Segera bertindaklah untuk melindungi kesehatan kita dan masa depan lingkungan.🌬️💚#UdaraBersihJakarta #IKU155 #KesehatanPrioritas";0;0;0;0;in;1668844275638095872;1738725957832466795;IDNMON;https://twitter.com/IDNMON/status/1738725957832466795
Sun Dec 24 00:59:06 +0000 2023;1738725956167286846;"🌬️  Kualitas udara Ungaran sedang dalam perhatian dengan Indeks Kualitas Udara (IKU) saat ini mencapai angka 129! Kondisi ini menunjukkan tingkat polusi yang masih cukup tinggi dan perlu perbaikan lebih lanjut.🌬️💚#UdaraBersihUngaran #IKU129 #LingkunganSehat";0;0;0;0;in;1668844275638095872;1738725956167286846;IDNMON;https://twitter.com/IDNMON/status/1738725956167286846
